id,line_id,name,geometry,buildstart,opening,closure
1,10,Caseros,POINT(-58.3989568854688 -34.635748886502),2001,2007,
2,10,Inclán,POINT(-58.4009695569283 -34.629375658098),2001,2007,
3,10,Humberto I,POINT(-58.4023227317347 -34.6230923215951),2001,2007,
4,10,Venezuela,POINT(-58.4047317175168 -34.6152421533513),2001,2007,
5,10,Plaza Once,POINT(-58.4060363817645 -34.6089352422548),2001,2007,
6,8,9 de Julio,POINT(-58.3805743445213 -34.6042452037712),1936,1937,
7,8,Facultad de Medicina,POINT(-58.3979237565357 -34.5997570806249),1936,1938,
8,8,Tribunales,POINT(-58.3849560886096 -34.6016674772057),1936,1937,
9,8,Agüero,POINT(-58.4071613212558 -34.5916278450705),1936,1938,
10,8,Scalabrini Ortiz,POINT(-58.4159043927427 -34.5851475422084),1936,1938,
11,8,Plaza Italia,POINT(-58.4212331697005 -34.5814445685947),1936,1938,
12,8,Palermo,POINT(-58.4257012357634 -34.578464035667),1936,1940,
13,7,Retiro,POINT(-58.374018216823 -34.5911938093721),1933,1936,
14,7,Lavalle,POINT(-58.3781557831942 -34.601769923798),1933,1936,
15,7,Diagonal Norte,POINT(-58.3795299795777 -34.6048437404279),1933,1934,
16,7,Avenida de Mayo,POINT(-58.3806107173786 -34.6089833154282),1933,1934,
17,7,Moreno,POINT(-58.38044447085 -34.612617280313),1933,1934,
18,7,Independencia,POINT(-58.3801736103442 -34.6181255988278),1933,1934,
19,7,Constitución,POINT(-58.3810801254228 -34.6277982902198),1933,1934,
20,6,Carlos Pellegrini,POINT(-58.3807148483638 -34.6036371051614),1928,1931,
21,6,Uruguay,POINT(-58.3872961341576 -34.604093553428),1928,1931,
22,6,Callao,POINT(-58.3927812622604 -34.6044640362732),1928,1930,
23,6,Pasteur,POINT(-58.3994742577363 -34.6046429678427),1928,1930,
24,6,Pueyrredón,POINT(-58.4053639713074 -34.6046032989767),1928,1930,
25,6,Carlos Gardel,POINT(-58.4117626011356 -34.6040795184799),1928,1930,
26,6,Medrano,POINT(-58.4209624717517 -34.6031649022273),1928,1930,
27,6,Ángel Gallardo,POINT(-58.4312738604315 -34.6021622306381),1928,1930,
28,6,Malabia - Osvaldo Pugliese,POINT(-58.4397151920098 -34.5990030261253),1928,1930,
29,6,Dorrego,POINT(-58.4474784161237 -34.5917726438988),1928,1930,
30,5,Perú,POINT(-58.3742677265724 -34.6085590738884),1911,1913,
31,5,Piedras,POINT(-58.3790851527922 -34.6088817222436),1911,1913,
32,5,Lima,POINT(-58.3822324012181 -34.6090998072553),1911,1913,
33,5,Sáenz Peña,POINT(-58.3867771943587 -34.6094125867903),1911,1913,
34,5,Congreso,POINT(-58.3926534624886 -34.6092952233562),1911,1913,
35,5,Pasco,POINT(-58.3970597879912 -34.6095511367424),1911,1913,
36,5,Alberti,POINT(-58.4014994091101 -34.6098715089862),1911,1913,
37,5,Plaza Miserere,POINT(-58.406945240778 -34.6097659975724),1911,1913,
38,5,Loria,POINT(-58.4151857086427 -34.6107816902173),1911,1914,
39,5,Castro Barros,POINT(-58.421815670424 -34.6117702288802),1911,1914,
40,5,Río de Janeiro,POINT(-58.4295003242477 -34.6152056101139),1911,1914,
41,5,Acoyte,POINT(-58.436428529588 -34.6182799679461),1911,1914,
42,5,Primera Junta,POINT(-58.4411776244941 -34.6204052134137),1911,1914,
43,9,Bolívar,POINT(-58.3736762113467 -34.6092787012116),1957,1966,
44,9,Belgrano,POINT(-58.3778411223431 -34.6130107890376),1957,1966,
45,9,Independencia,POINT(-58.3815925492011 -34.6179437153999),1957,1966,
46,9,San José,POINT(-58.3852255970135 -34.6222669369824),1938,1944,
47,9,Entre Ríos - Rodolfo Walsh,POINT(-58.3915117004694 -34.6227196674666),1938,1944,
48,9,Pichincha,POINT(-58.3971088972371 -34.6231266618704),1938,1944,
49,9,Jujuy,POINT(-58.4029161700655 -34.6238993041226),1938,1944,
50,9,Urquiza,POINT(-58.4093907837292 -34.6247209696769),1938,1944,
51,9,José María Moreno,POINT(-58.4338162517819 -34.6280175481316),1969,1973,
52,9,Emilio Mitre,POINT(-58.4424634008349 -34.6318472905924),1977,1985,
53,8,Bulnes,POINT(-58.4112939023419 -34.588237109769),1936,1938,
54,8,Pueyrredón,POINT(-58.4024019717043 -34.5944475431205),1936,1938,
55,8,Callao,POINT(-58.3931251823401 -34.599639553207),1936,1938,
56,7,General San Martín,POINT(-58.3773142123629 -34.5949227700041),1936,1937,
57,7,San Juan,POINT(-58.3799211800979 -34.6219167333603),1933,1934,
58,9,Medalla Milagrosa,POINT(-58.4502782572549 -34.6363891900731),1977,1985,
59,9,Avenida La Plata,POINT(-58.426789024345 -34.6270154668436),1960,1966,
60,9,Boedo,POINT(-58.4158855937001 -34.6254453711622),,1960,
61,8,Ministro Carranza,POINT(-58.4350135329444 -34.5751783653176),1988,1993,
62,8,Olleros,POINT(-58.4446681474259 -34.5700123091016),1994,1997,
63,8,José Hernández,POINT(-58.4521256031295 -34.566215242404),1994,1997,
64,8,Juramento,POINT(-58.4564891346516 -34.562309088005),1994,1999,
65,6,Federico Lacroze,POINT(-58.4551967582187 -34.5871909600777),1928,1930,
66,9,Plaza de los Virreyes,POINT(-58.4618975522638 -34.6430088439855),1977,1986,
67,9,Varela,POINT(-58.4581068221865 -34.6399604103365),1977,1985,
68,8,Catedral,POINT(-58.373872070172 -34.6078988241283),1936,1937,
69,5,Plaza de Mayo,POINT(-58.3709684997244 -34.608810309661),1911,1913,
70,8,Congreso de Tucumán,POINT(-58.4622162574978 -34.5557938152091),1994,2000,
71,6,Leandro N. Alem,POINT(-58.3693742813062 -34.6029773467972),1928,1931,
72,6,Tronador - Villa Ortúzar,POINT(-58.466227204617 -34.5840946203706),1999,2003,
73,6,De los Incas -  Parque Chas,POINT(-58.4744194794342 -34.5811637234293),1999,2003,
74,5,Carabobo,POINT(-58.4567097990004 -34.6266665940388),2004,2008,
75,5,Puán,POINT(-58.4486476546517 -34.6235289531268),2004,2008,
76,10,Corrientes,POINT(-58.4053253432561 -34.604114845987),2006,2010,
77,10,Parque Patricios,POINT(-58.4057698611935 -34.6384271462914),2005,2011,
78,10,Hospitales,POINT(-58.412385152533 -34.6412689426098),2005,2013,
79,6,Florida,POINT(-58.3746989766716 -34.6033538687214),1928,1931,
80,6,Echeverría,POINT(-58.4810135041216 -34.5777973778049),2005,2013,
81,6,Juan Manuel de Rosas,POINT(-58.4866449298786 -34.5741396507944),2005,2013,
82,5,San Pedrito,POINT(-58.4704769885795 -34.6309413487932),2004,2013,
83,5,San José de Flores,POINT(-58.4635405106623 -34.6290872274132),2004,2013,
84,8,Apeadero Carranza,POINT(-58.4346553879005 -34.5753472267341),,1987,1993
85,9,Constitución,POINT(-58.3811805331925 -34.6278039882617),1938,1944,1966
86,9,Apeadero Boedo,POINT(-58.4146047807929 -34.6253034252031),1938,1944,1960
87,9,Retiro,POINT(-58.3762652909006 -34.5922122888241),2008,,
88,9,Catalinas,POINT(-58.371956123621 -34.5967953155765),2008,,
89,9,Correo Central,POINT(-58.3702969061717 -34.6034433544987),2008,,
90,10,Facultad de Derecho,POINT(-58.3912438364904 -34.5833126109415),2014,,
91,10,Plaza Francia,POINT(-58.392525467937 -34.5853531778846),2012,,2013
92,10,Las Heras,POINT(-58.3973606350083 -34.5876204291348),2012,2015,
93,10,Santa Fe,POINT(-58.4022260379246 -34.5942280022585),2012,2016,
94,10,Córdoba,POINT(-58.40374500152 -34.5985047294007),2012,2015,
95,10,Sáenz,POINT(-58.416299161294 -34.6487081009998),2012,,2014
96,10,Nueva Pompeya,POINT(-58.4164732645489 -34.6569558683448),2012,,2014
182,43,"Lo Espejo

",POINT(-70.6667357927891 -33.546350629355),2017,2021,999999
147,42,"San Pablo

",POINT(-70.7232363950207 -33.4454142345698),1969,1975,999999
145,60,"Cerrillos

",POINT(-70.6955751020262 -33.4834212567071),2012,2017,999999
168,46,"San Joaquin

",POINT(-70.6159000592476 -33.4991490100962),1994,1997,999999
120,42,"Los Leones

",POINT(-70.6083706017129 -33.421954901704),1974,1980,999999
166,46,"Carlos Valdovinos

",POINT(-70.6192578924646 -33.486452433959),1994,1997,999999
165,46,"Rodrigo de Araya

",POINT(-70.6221813423559 -33.4782038237877),1994,1997,999999
108,43,"El Parrón 

",POINT(-70.6613969145381 -33.5264960996521),2000,2004,999999
126,43,"Cerro Blanco

",POINT(-70.6449972939515 -33.4226249245217),2000,2004,999999
149,42,"Pajaritos

",POINT(-70.7155277257811 -33.457453152297),1969,1975,
131,42,"Universidad de Chile

",POINT(-70.6503551183864 -33.4437812638442),1971,1977,999999
