id,line_id,geometry,buildstart,opening,closure,length
1020,252,"LINESTRING(14.252131572634 40.8534662241477,14.2520416639302 40.8526832597326,14.251909656643 40.852028843756,14.25140848028 40.8509713723486,14.2504720718165 40.8494350159044,14.2498785735093 40.8482192439341)",1996,2002,999999,618
705,203,"LINESTRING(-0.136464215469061 51.3876655954957,-0.132316700539803 51.386692693169,-0.129868631143864 51.3859293949339,-0.128175119051406 51.3853135685175,-0.126564176281732 51.3844241157871,-0.122883570296409 51.3818502051116,-0.119969241290988 51.3790587537131,-0.115840822928448 51.3752843634109,-0.114561651862886 51.3741873345891,-0.113447749579109 51.3735786195835,-0.112190693147795 51.3733874189656,-0.111098715469694 51.3734743218266,-0.109498502370599 51.3739263915943,-0.108257262526109 51.374674689804,-0.107011474716643 51.3756504236127,-0.105738232797307 51.3764703979878,-0.104293543763589 51.3777991550937,-0.103728571622156 51.3783774077768)",1996,2000,999999,3232
4,5,"LINESTRING(-58.456195965415 -34.6264841092164,-58.4590874308423 -34.6276915120621,-58.4623241458729 -34.6287923640494,-58.4634893632839 -34.6290764525138,-58.4704568352055 -34.6309330738418)",2004,2013,,1401
13,8,"LINESTRING(-58.4211962868774 -34.5814691900692,-58.4233972530977 -34.5799413274588,-58.4256845317189 -34.5784667357481)",1936,1940,,530
14,8,"LINESTRING(-58.4256845317189 -34.5784667357481,-58.4266339681277 -34.5780758757281,-58.4303022451619 -34.5769743512381,-58.4328484609856 -34.5761215480598,-58.434647012177 -34.575347228336,-58.4350135308139 -34.5751783669187)",1976,1987,,932
6,6,"LINESTRING(-58.3927812590882 -34.6044640386578,-58.3872961309877 -34.6040935558117,-58.3811904891064 -34.6036733242499,-58.3746739028451 -34.6033536268312,-58.3710483894804 -34.6031415076489,-58.3703797292436 -34.6030485376704,-58.3693980573455 -34.6029717644135)",1928,1931,,2152
7,7,"LINESTRING(-58.3810801222602 -34.627798292595,-58.3811023225313 -34.6271841470466,-58.3808830791923 -34.6266229776181,-58.3804901117264 -34.6257203770461,-58.380467903575 -34.6255626573614,-58.3803336787467 -34.6248735398389,-58.3801849256472 -34.6237250177506,-58.3799087336616 -34.6221665893847,-58.3801938555484 -34.6177794021015,-58.3803784785707 -34.6137956206008,-58.3805069525126 -34.6114514300808,-58.3806004841897 -34.6089864545644,-58.3807227335137 -34.6068694120554,-58.3808371536087 -34.6055080546429,-58.3808040726205 -34.6051735220458,-58.3806421824184 -34.6049557729186,-58.3804146721581 -34.6048694913894,-58.3798905725479 -34.6048616087473,-58.3795264244317 -34.6048562864587)",1933,1934,,2659
8,7,"LINESTRING(-58.3795264244317 -34.6048562864587,-58.3789463666855 -34.6047389734188,-58.3785148046814 -34.6045258446789,-58.3782869900554 -34.6042896306301,-58.3782127112785 -34.6040285421586,-58.3781263988776 -34.6034957147249,-58.3781273935362 -34.6027497505743,-58.3784554229949 -34.5964342464053)",1933,1936,,1008
9,6,"LINESTRING(-58.4551967550169 -34.5871909624797,-58.4584162356489 -34.586102454192,-58.4594521991688 -34.5857501550744,-58.4596741719009 -34.5856848513573,-58.4599162292182 -34.5856424615364,-58.460131595149 -34.5856288617786,-58.4603729068457 -34.5856428449512,-58.4606924162168 -34.5856868711994,-58.4610933880264 -34.5857404208587,-58.4612702139917 -34.5857442478866,-58.4614247015598 -34.5857337232614,-58.4615654268613 -34.5857154408078,-58.4617075253032 -34.5856762902075,-58.4634683619713 -34.5850655762368,-58.4664671411027 -34.5840629390327,-58.4720989674234 -34.5822607196248,-58.4735627933898 -34.5818107147068,-58.4738529780765 -34.5816857000905,-58.4740695641713 -34.5815513843136,-58.4742352571751 -34.581398127325)",1999,2003,,1880
10,6,"LINESTRING(-58.4742352571751 -34.581398127325,-58.4752926855848 -34.5801256976862,-58.4754243071301 -34.5800203463822,-58.4756037777237 -34.5799302951273,-58.4758104584895 -34.5798702634081,-58.4785724553153 -34.5792662164389,-58.4788924479968 -34.5791730691947,-58.4791550640208 -34.5790352561434,-58.4795218917241 -34.578804295206,-58.4827586067541 -34.576601250934,-58.4844201204694 -34.5755885416402,-58.4863033662649 -34.5743997214566,-58.4864094201245 -34.5743253425183,-58.4866449277335 -34.5741396524024)",2005,2013,,1426
